country,cmdCode,ml_growth_prob
Australia,6217,0.42158714930216473
Australia,6301,0.4729074239730835
Australia,6303,0.3932897945245107
Australia,6304,0.41738952199618023
Australia,6305,0.3773572047551473
Australia,6306,0.3838687042395274
Australia,6307,0.36360032359759015
Australia,6308,0.4720991055170695
Australia,6310,0.6319554448127747
Australia,6401,0.509449283281962
Australia,6402,0.5587387879689535
Australia,6403,0.3730914692083995
Australia,6404,0.5951366027196249
Australia,6405,0.4079684317111969
Australia,6406,0.42587973674138385
Australia,6501,0.3795545995235443
Australia,6502,0.7245126962661743
Australia,6504,0.3797703782717387
Australia,6505,0.448056161403656
Australia,6506,0.4182862838109334
Australia,6507,0.4148673315842946
Australia,6601,0.445681889851888
Australia,6602,0.45987455050150555
Australia,6603,0.702682356039683
Australia,6701,0.49676727255185443
Australia,6702,0.45566264788309735
Australia,6703,0.6709313790003458
Australia,6801,0.348104586203893
Australia,6802,0.6769051353136698
Australia,6803,0.23967309792836508
Australia,6804,0.3773572047551473
Australia,6805,0.40809933344523114
Australia,6806,0.5322695672512054
Australia,6807,0.3039343059062958
Australia,6808,0.5343113938967387
Australia,6809,0.36571844418843585
Australia,6810,0.5378225843111674
Australia,6811,0.43872811396916706
Australia,6812,0.46566423773765564
Australia,6813,0.3773572047551473
Australia,6814,0.3945799171924591
Australia,6901,0.477679302295049
Australia,6902,0.46437493960062665
Australia,6903,0.3976130783557892
Australia,6905,0.4836895267168681
Australia,6906,0.6613516807556152
Australia,6907,0.51212477684021
Australia,6909,0.4400206208229065
Australia,6910,0.39676791429519653
Australia,6911,0.41245415806770325
Australia,6912,0.3862818777561188
Australia,6913,0.5285001595815023
Australia,6914,0.4740745723247528
Australia,7001,0.426765501499176
Australia,7002,0.45690325895945233
Australia,7003,0.8634733557701111
Australia,7004,0.34011510014533997
Australia,7005,0.6402790546417236
Australia,7006,0.44070709745089215
Australia,7007,0.44163693984349567
Australia,7008,0.5224920511245728
Australia,7009,0.3908766210079193
Australia,7010,0.36915193994839984
Australia,7013,0.43641239404678345
Australia,7014,0.35859959324200946
Australia,7015,0.5621806383132935
Australia,7016,0.4769202470779419
Australia,7017,0.6027387976646423
Australia,7018,0.4200478394826253
Australia,7019,0.3838687042395274
Australia,7020,0.4148673315842946
Australia,7201,0.4483217199643453
Australia,7202,0.3932897945245107
Australia,7205,0.6518604755401611
